# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
   52 2026-04-17T10:07:00+05:30       9.66       9.66       9.65       9.66   +0.207          TP≥9.6882 SL≤8.676
   53 2026-04-17T10:08:00+05:30       9.66       9.66       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
   54 2026-04-17T10:09:00+05:30       9.65       9.65       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   55 2026-04-17T10:10:00+05:30       9.65       9.65       9.63       9.65   +0.104          TP≥9.6882 SL≤8.676
   56 2026-04-17T10:11:00+05:30       9.65       9.65       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   57 2026-04-17T10:12:00+05:30       9.64       9.64       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   58 2026-04-17T10:13:00+05:30       9.64       9.65       9.63       9.65   +0.104          TP≥9.6882 SL≤8.676
   59 2026-04-17T10:14:00+05:30       9.64       9.65       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
   60 2026-04-17T10:15:00+05:30       9.65       9.65       9.64       9.64   +0.000          TP≥9.6882 SL≤8.676
   61 2026-04-17T10:16:00+05:30       9.65       9.66       9.64       9.66   +0.207          TP≥9.6882 SL≤8.676
   62 2026-04-17T10:17:00+05:30       9.66       9.66       9.65       9.65   +0.104          TP≥9.6882 SL≤8.676
   63 2026-04-17T10:18:00+05:30       9.66       9.66       9.65       9.66   +0.207          TP≥9.6882 SL≤8.676
   64 2026-04-17T10:19:00+05:30       9.66       9.66       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
   65 2026-04-17T10:20:00+05:30       9.64       9.65       9.64       9.64   +0.000          TP≥9.6882 SL≤8.676
   66 2026-04-17T10:21:00+05:30       9.64       9.65       9.64       9.64   +0.000          TP≥9.6882 SL≤8.676
   67 2026-04-17T10:22:00+05:30       9.64       9.66       9.64       9.66   +0.207          TP≥9.6882 SL≤8.676
   68 2026-04-17T10:23:00+05:30       9.66       9.66       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
   69 2026-04-17T10:24:00+05:30       9.64       9.65       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
