# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
  224 2026-04-17T12:59:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  225 2026-04-17T13:00:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  226 2026-04-17T13:01:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  227 2026-04-17T13:02:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  228 2026-04-17T13:03:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  229 2026-04-17T13:04:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  230 2026-04-17T13:05:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  231 2026-04-17T13:06:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  232 2026-04-17T13:07:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  233 2026-04-17T13:08:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  234 2026-04-17T13:09:00+05:30       9.56       9.58       9.56       9.58   -0.622          TP≥9.6882 SL≤8.676
  235 2026-04-17T13:10:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  236 2026-04-17T13:11:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  237 2026-04-17T13:12:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  238 2026-04-17T13:13:00+05:30       9.58       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  239 2026-04-17T13:14:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  240 2026-04-17T13:15:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  241 2026-04-17T13:16:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  242 2026-04-17T13:17:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  243 2026-04-17T13:18:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  244 2026-04-17T13:19:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  245 2026-04-17T13:20:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  246 2026-04-17T13:21:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  247 2026-04-17T13:22:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  248 2026-04-17T13:23:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  249 2026-04-17T13:24:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  250 2026-04-17T13:25:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  251 2026-04-17T13:26:00+05:30       9.59       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  252 2026-04-17T13:27:00+05:30       9.57       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  253 2026-04-17T13:28:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  254 2026-04-17T13:29:00+05:30       9.57       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  255 2026-04-17T13:30:00+05:30       9.58       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  256 2026-04-17T13:31:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  257 2026-04-17T13:32:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  258 2026-04-17T13:33:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  259 2026-04-17T13:34:00+05:30       9.58       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  260 2026-04-17T13:35:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  261 2026-04-17T13:36:00+05:30       9.59       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  262 2026-04-17T13:37:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  263 2026-04-17T13:38:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  264 2026-04-17T13:39:00+05:30       9.59       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  265 2026-04-17T13:40:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  266 2026-04-17T13:41:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  267 2026-04-17T13:42:00+05:30       9.60       9.61       9.59       9.61   -0.311          TP≥9.6882 SL≤8.676
  268 2026-04-17T13:43:00+05:30       9.61       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  269 2026-04-17T13:44:00+05:30       9.60       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  270 2026-04-17T13:45:00+05:30       9.59       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  271 2026-04-17T13:46:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  272 2026-04-17T13:47:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  273 2026-04-17T13:48:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  274 2026-04-17T13:49:00+05:30       9.59       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  275 2026-04-17T13:50:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  276 2026-04-17T13:51:00+05:30       9.60       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  277 2026-04-17T13:52:00+05:30       9.60       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  278 2026-04-17T13:53:00+05:30       9.61       9.61       9.60       9.60   -0.415          TP≥9.6882 SL≤8.676
  279 2026-04-17T13:54:00+05:30       9.61       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  280 2026-04-17T13:55:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  281 2026-04-17T13:56:00+05:30       9.60       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  282 2026-04-17T13:57:00+05:30       9.59       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  283 2026-04-17T13:58:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  284 2026-04-17T13:59:00+05:30       9.60       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  285 2026-04-17T14:00:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  286 2026-04-17T14:01:00+05:30       9.60       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  287 2026-04-17T14:02:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  288 2026-04-17T14:03:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  289 2026-04-17T14:04:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  290 2026-04-17T14:05:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  291 2026-04-17T14:06:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  292 2026-04-17T14:07:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  293 2026-04-17T14:08:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  294 2026-04-17T14:09:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  295 2026-04-17T14:10:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  296 2026-04-17T14:11:00+05:30       9.59       9.61       9.59       9.61   -0.311          TP≥9.6882 SL≤8.676
  297 2026-04-17T14:12:00+05:30       9.61       9.61       9.60       9.60   -0.415          TP≥9.6882 SL≤8.676
  298 2026-04-17T14:13:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  299 2026-04-17T14:14:00+05:30       9.61       9.61       9.58       9.58   -0.622          TP≥9.6882 SL≤8.676
  300 2026-04-17T14:15:00+05:30       9.59       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  301 2026-04-17T14:16:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  302 2026-04-17T14:17:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  303 2026-04-17T14:18:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  304 2026-04-17T14:19:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  305 2026-04-17T14:20:00+05:30       9.60       9.61       9.59       9.61   -0.311          TP≥9.6882 SL≤8.676
  306 2026-04-17T14:21:00+05:30       9.61       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  307 2026-04-17T14:22:00+05:30       9.60       9.61       9.60       9.60   -0.415          TP≥9.6882 SL≤8.676
  308 2026-04-17T14:23:00+05:30       9.61       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  309 2026-04-17T14:24:00+05:30       9.61       9.61       9.60       9.60   -0.415          TP≥9.6882 SL≤8.676
  310 2026-04-17T14:25:00+05:30       9.61       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  311 2026-04-17T14:26:00+05:30       9.61       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  312 2026-04-17T14:27:00+05:30       9.59       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  313 2026-04-17T14:28:00+05:30       9.59       9.60       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  314 2026-04-17T14:29:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  315 2026-04-17T14:30:00+05:30       9.57       9.58       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  316 2026-04-17T14:31:00+05:30       9.57       9.58       9.56       9.58   -0.622          TP≥9.6882 SL≤8.676
  317 2026-04-17T14:32:00+05:30       9.58       9.58       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  318 2026-04-17T14:33:00+05:30       9.56       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  319 2026-04-17T14:34:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  320 2026-04-17T14:35:00+05:30       9.57       9.57       9.56       9.57   -0.726          TP≥9.6882 SL≤8.676
  321 2026-04-17T14:36:00+05:30       9.57       9.58       9.56       9.58   -0.622          TP≥9.6882 SL≤8.676
  322 2026-04-17T14:37:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  323 2026-04-17T14:38:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  324 2026-04-17T14:39:00+05:30       9.58       9.58       9.57       9.57   -0.726          TP≥9.6882 SL≤8.676
  325 2026-04-17T14:40:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  326 2026-04-17T14:41:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  327 2026-04-17T14:42:00+05:30       9.58       9.58       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  328 2026-04-17T14:43:00+05:30       9.58       9.59       9.57       9.59   -0.519          TP≥9.6882 SL≤8.676
  329 2026-04-17T14:44:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  330 2026-04-17T14:45:00+05:30       9.59       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  331 2026-04-17T14:46:00+05:30       9.58       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  332 2026-04-17T14:47:00+05:30       9.58       9.59       9.57       9.58   -0.622          TP≥9.6882 SL≤8.676
  333 2026-04-17T14:48:00+05:30       9.58       9.59       9.57       9.59   -0.519          TP≥9.6882 SL≤8.676
  334 2026-04-17T14:49:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  335 2026-04-17T14:50:00+05:30       9.59       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  336 2026-04-17T14:51:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  337 2026-04-17T14:52:00+05:30       9.60       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  338 2026-04-17T14:53:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  339 2026-04-17T14:54:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  340 2026-04-17T14:55:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  341 2026-04-17T14:56:00+05:30       9.61       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  342 2026-04-17T14:57:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  343 2026-04-17T14:58:00+05:30       9.60       9.61       9.60       9.60   -0.415          TP≥9.6882 SL≤8.676
  344 2026-04-17T14:59:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  345 2026-04-17T15:00:00+05:30       9.60       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  346 2026-04-17T15:01:00+05:30       9.60       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  347 2026-04-17T15:02:00+05:30       9.59       9.59       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  348 2026-04-17T15:03:00+05:30       9.59       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  349 2026-04-17T15:04:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  350 2026-04-17T15:05:00+05:30       9.60       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  351 2026-04-17T15:06:00+05:30       9.60       9.61       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  352 2026-04-17T15:07:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  353 2026-04-17T15:08:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  354 2026-04-17T15:09:00+05:30       9.60       9.61       9.60       9.60   -0.415          TP≥9.6882 SL≤8.676
  355 2026-04-17T15:10:00+05:30       9.61       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  356 2026-04-17T15:11:00+05:30       9.61       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  357 2026-04-17T15:12:00+05:30       9.60       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  358 2026-04-17T15:13:00+05:30       9.61       9.61       9.60       9.61   -0.311          TP≥9.6882 SL≤8.676
  359 2026-04-17T15:14:00+05:30       9.60       9.62       9.60       9.62   -0.207          TP≥9.6882 SL≤8.676
  360 2026-04-17T15:15:00+05:30       9.61       9.62       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676

# Stream ended. Total orders: 3
